0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:22:01 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:22:01 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:22:15 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:22:15 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:22:15 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:23:08 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:23:08 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:23:08 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:23:16 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 2115
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:23:16 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:23:16 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:23:57 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 2120
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:23:57 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:23:57 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:24:30 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:24:30 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:24:30 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:25:13 +0900] "GET /WebUI/1_html5_class/03_html5_text.html HTTP/1.1" 200 2150
0:0:0:0:0:0:0:1 - - [31/Mar/2025:10:25:13 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
