127.0.0.1 - - [02/Apr/2025:09:37:52 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:37:53 +0900] "GET /WebUI/2_css_class/03_html5_text.html HTTP/1.1" 200 2517
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:37:53 +0900] "GET /WebUI/2_css_class/03_html5_text.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:37:53 +0900] "GET /WebUI/images/new/road2.jpg HTTP/1.1" 200 46040
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:37:53 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:37:53 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:38:24 +0900] "GET /WebUI/2_css_class/03_html5_text.html HTTP/1.1" 200 2524
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:40:48 +0900] "GET /WebUI/2_css_class/03_html5_text.html HTTP/1.1" 200 2551
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:40:48 +0900] "GET /WebUI/images/new/bg3.jpg HTTP/1.1" 200 109248
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:43:32 +0900] "GET /WebUI/2_css_class/03_html5_text.html HTTP/1.1" 200 2560
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:45:16 +0900] "GET /WebUI/2_css_class/03_html5_text.html HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:46:04 +0900] "GET /WebUI/2_css_class/03_html5_text.html HTTP/1.1" 200 2611
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:46:44 +0900] "GET /WebUI/2_css_class/03_html5_text.html HTTP/1.1" 200 2652
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:46:44 +0900] "GET /WebUI/images/new/road2.jpg HTTP/1.1" 200 46040
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:46:44 +0900] "GET /WebUI/images/new/bg3.jpg HTTP/1.1" 200 109248
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:46:44 +0900] "GET /WebUI/images/new/road1.jpg HTTP/1.1" 200 40372
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:46:44 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [02/Apr/2025:09:47:39 +0900] "GET /WebUI/2_css_class/03_html5_text.html HTTP/1.1" 200 2680
